File Type,Original Name,New Name,Error
Items PDF,Kidokinetics_Franchise_LLC_Kidokinetics_2024_Items1-23.pdf,KIDOKINETICS FRANCHISE LLC_2024_Items1-23.pdf,File not found in Items folder
Main PDF,KidStrong_Franchising_LLC_NoTradeName_2024.pdf,KIDSTRONG FRANCHISING LLC_2024.pdf,File not found
JSON,KidStrong_Franchising_LLC_NoTradeName_2024_FranchiseInfo.json,KIDSTRONG FRANCHISING LLC_2024_FranchiseInfo.json,File not found
Subfolder PDF,KidStrong_Franchising_LLC_NoTradeName_2024_Items1-23.pdf,KIDSTRONG FRANCHISING LLC_2024_Items1-23.pdf,File not found in subfolder
Items PDF,KidStrong_Franchising_LLC_NoTradeName_2024_Items1-23.pdf,KIDSTRONG FRANCHISING LLC_2024_Items1-23.pdf,File not found in Items folder
Main PDF,Kid_to_Kid_Franchise_System_LLC_Kid_to_Kid_2024.pdf,"KID TO KID FRANCHISE SYSTEM, LLC_2024.pdf",File not found
JSON,Kid_to_Kid_Franchise_System_LLC_Kid_to_Kid_2024_FranchiseInfo.json,"KID TO KID FRANCHISE SYSTEM, LLC_2024_FranchiseInfo.json",File not found
Subfolder PDF,Kid_to_Kid_Franchise_System_LLC_Kid_to_Kid_2024_Items1-23.pdf,"KID TO KID FRANCHISE SYSTEM, LLC_2024_Items1-23.pdf",File not found in subfolder
Items PDF,Kid_to_Kid_Franchise_System_LLC_Kid_to_Kid_2024_Items1-23.pdf,"KID TO KID FRANCHISE SYSTEM, LLC_2024_Items1-23.pdf",File not found in Items folder
Main PDF,Kilwins_Chocolates_Franchise_Inc_Kilwins_2024.pdf,"KILWINS CHOCOLATES FRANCHISE, INC._2024.pdf",File not found
JSON,Kilwins_Chocolates_Franchise_Inc_Kilwins_2024_FranchiseInfo.json,"KILWINS CHOCOLATES FRANCHISE, INC._2024_FranchiseInfo.json",File not found
Subfolder PDF,Kilwins_Chocolates_Franchise_Inc_Kilwins_2024_Items1-23.pdf,"KILWINS CHOCOLATES FRANCHISE, INC._2024_Items1-23.pdf",File not found in subfolder
Items PDF,Kilwins_Chocolates_Franchise_Inc_Kilwins_2024_Items1-23.pdf,"KILWINS CHOCOLATES FRANCHISE, INC._2024_Items1-23.pdf",File not found in Items folder
Main PDF,Kitchen_Guard_Franchising_Inc_Kitchen_Guard_Services_2024.pdf,"KITCHEN GUARD FRANCHISING, INC._2024.pdf",File not found
JSON,Kitchen_Guard_Franchising_Inc_Kitchen_Guard_Services_2024_FranchiseInfo.json,"KITCHEN GUARD FRANCHISING, INC._2024_FranchiseInfo.json",File not found
